FULLADDRESS,NOTIFICATION,STATUS,AddressType,CompleteStreetAddress,Add_Number,AddNum_Suf,St_PreDir,AbbreviatedPreDirectional,StreetNamePreModifier,StreetNamePreType,StreetNameSeparator,St_Name,St_PosTyp,AbbreviatedPostType,SubaddressType,SubaddressIdentifier,Floor,Building,Post_Code,NOTES,GlobalID,created_user,created_date,last_edited_user,last_edited_date,CompleteAddressNumber,CompleteStreetName,CompleteSubaddress,PlaceStateZip,Post_Comm,StateName,Inc_Muni,Uninc_Comm,x,y,longitude,latitude
115 ROGUE RIVER HWY APT 208,,Current,SERVICE,115 ROGUE RIVER HIGHWAY APARTMENT 208,115,,,,,,,ROGUE RIVER,HIGHWAY,HWY,APARTMENT,208,,,97527,,{96E093A5-EF92-46F7-B6E4-423E4CCB92CB},,,GPGIS,7/1/2024 18:54:44,115,ROGUE RIVER HIGHWAY,APARTMENT 208,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13729116.332800000905991,5225431.521700002253056,-123.330750390000006,42.428812720000003
115 ROGUE RIVER HWY APT 310,,Current,SERVICE,115 ROGUE RIVER HIGHWAY APARTMENT 310,115,,,,,,,ROGUE RIVER,HIGHWAY,HWY,APARTMENT,310,,,97527,,{D15ECA3F-243B-4124-AA43-DAAC5F12BD87},,,GPGIS,7/1/2024 18:54:44,115,ROGUE RIVER HIGHWAY,APARTMENT 310,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13729094.304899999871850,5225428.623599998652935,-123.330552510000004,42.428793499999998
115 ROGUE RIVER HWY APT 309,,Current,SERVICE,115 ROGUE RIVER HIGHWAY APARTMENT 309,115,,,,,,,ROGUE RIVER,HIGHWAY,HWY,APARTMENT,309,,,97527,,{3635EF62-CEB6-4998-ACE8-11BA8C351159},,,GPGIS,7/1/2024 18:54:44,115,ROGUE RIVER HIGHWAY,APARTMENT 309,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13729106.223999999463558,5225427.213399998843670,-123.330659580000003,42.428784149999998
115 ROGUE RIVER HWY APT 308,,Current,SERVICE,115 ROGUE RIVER HIGHWAY APARTMENT 308,115,,,,,,,ROGUE RIVER,HIGHWAY,HWY,APARTMENT,308,,,97527,,{D3E7BDB0-A6E7-4358-9184-439F1550CA67},,,GPGIS,7/1/2024 18:54:44,115,ROGUE RIVER HIGHWAY,APARTMENT 308,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13729116.956399999558926,5225424.045599997043610,-123.330755990000000,42.428763150000002
2477 REDWOOD AVE,,Other,,2477 REDWOOD AVENUE ,2477,,,,,,,REDWOOD,AVENUE,AVE,,,,,97527,,{8B820BFA-B88B-4BEB-9622-4FC3B2143AC1},,,GPGIS,7/1/2024 18:54:44,2477,REDWOOD AVENUE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13734181.886900000274181,5224427.456500001251698,-123.376255040000004,42.422154800000001
2738 REDWOOD AVE,https://www.grantspassoregon.gov/DocumentCenter/View/29228/2738_REDWOOD_AVE_FINAL,Current,PARENT,2738 REDWOOD AVENUE ,2738,,,,,,,REDWOOD,AVENUE,AVE,,,,,97527,,{72F63770-EDD0-4A13-BA4B-E114B158D88A},,,GPGIS,7/1/2024 18:54:44,2738,REDWOOD AVENUE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13734736.930700000375509,5224503.610500000417233,-123.381241079999995,42.422659799999998
1285 WILLOW LN,,Other,,1285 WILLOW LANE ,1285,,,,,,,WILLOW,LANE,LN,,,,,97527,,{A3D5D72D-1D4D-4742-B10A-9AF3CEEF08C5},,,GPGIS,7/1/2024 18:54:44,1285,WILLOW LANE,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13734193.801899999380112,5224908.423500001430511,-123.376362069999999,42.425344160000002
1720 SW SISTERS WAY,,Other,,1720 SOUTHWEST SISTERS WAY ,1720,,SOUTHWEST,SW,,,,SISTERS,WAY,WAY,,,,,97527,,{32AB6D0E-6FAE-46BE-B5B1-3D005EF594A2},,,GPGIS,7/1/2024 18:54:44,1720,SOUTHWEST SISTERS WAY,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13734179.616900000721216,5224936.763199999928474,-123.376234650000001,42.425532080000004
1728 SW SISTERS WAY,,Other,,1728 SOUTHWEST SISTERS WAY ,1728,,SOUTHWEST,SW,,,,SISTERS,WAY,WAY,,,,,97527,,{17554DBC-1ADC-4BA5-A503-30B68FFEED4F},,,GPGIS,7/1/2024 18:54:44,1728,SOUTHWEST SISTERS WAY,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13734116.075400000438094,5224933.235299997031689,-123.375663840000001,42.425508690000001
1736 SW SISTERS WAY,,Other,,1736 SOUTHWEST SISTERS WAY ,1736,,SOUTHWEST,SW,,,,SISTERS,WAY,WAY,,,,,97527,,{55925661-C37F-4497-8425-20B14C2CA543},,,GPGIS,7/1/2024 18:54:44,1736,SOUTHWEST SISTERS WAY,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13734127.474399998784065,5224917.046800002455711,-123.375766240000004,42.425401340000001
1744 SW SISTERS WAY,,Other,,1744 SOUTHWEST SISTERS WAY ,1744,,SOUTHWEST,SW,,,,SISTERS,WAY,WAY,,,,,97527,,{AC1B811E-F412-4057-883A-BAA091BE1D36},,,GPGIS,7/1/2024 18:54:44,1744,SOUTHWEST SISTERS WAY,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,GRANTS PASS,GRANTS PASS,-13734126.723099999129772,5224900.124700002372265,-123.375759489999993,42.425289130000003
1230 BOUNDARY RD,,Other,,1230 BOUNDARY ROAD ,1230,,,,,,,BOUNDARY,ROAD,RD,,,,,97527,,{202EEADC-8E5F-47C9-AEC2-7110D82D0F9A},,,GPGIS,7/1/2024 18:54:44,1230,BOUNDARY ROAD,,"GRANTS PASS, OR 97527",GRANTS PASS,OR,,GRANTS PASS,-13737630.082200000062585,5225057.423100002110004,-123.407230700000000,42.426332170000002
142 TECH WAY,,Other,,142 TECH WAY ,142,,,,,,,TECH,WAY,WAY,,,,,97526,,{D07612C1-BD9D-4436-9CE8-DB8DBC14164F},,,GPGIS,7/1/2024 18:54:44,142,TECH WAY,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13733639.266100000590086,5236815.242100000381470,-123.371380590000001,42.504248279999999
200 CORPORATE WAY,,Other,,200 CORPORATE WAY ,200,,,,,,,CORPORATE,WAY,WAY,,,,,97526,,{765A7E73-003B-4AF5-91D0-40ADEEE1309C},,,GPGIS,7/1/2024 18:54:44,200,CORPORATE WAY,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13733617.048900000751019,5236706.573600001633167,-123.371181010000001,42.503528609999996
5887 MONUMENT DR,,Other,,5887 MONUMENT DRIVE ,5887,,,,,,,MONUMENT,DRIVE,DR,,,,,97526,,{B4E8DBE2-F93C-4BB0-97BE-1C9906777671},,,GPGIS,7/1/2024 18:54:44,5887,MONUMENT DRIVE,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13733867.632500000298023,5236890.172700002789497,-123.373432039999997,42.504744520000003
5765 MONUMENT DR,,Other,,5765 MONUMENT DRIVE ,5765,,,,,,,MONUMENT,DRIVE,DR,,,,,97526,,{3321E2A6-519A-49A0-8D6C-4773740B5E36},,,GPGIS,7/1/2024 18:54:44,5765,MONUMENT DRIVE,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13733794.190000001341105,5236746.686200000345707,-123.372772299999994,42.503794259999999
102 LATHROP LN,,Other,,102 LATHROP LANE ,102,,,,,,,LATHROP,LANE,LN,,,,,97526,,{C2C0A714-FE10-4228-9125-3CA797879CE0},,,GPGIS,7/1/2024 18:54:44,102,LATHROP LANE,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13735624.468899998813868,5228943.128899998962879,-123.389213970000000,42.452092489999998
155 LATHROP LN,,Other,,155 LATHROP LANE ,155,,,,,,,LATHROP,LANE,LN,,,,,97526,,{6E6321D9-AF9D-4DA4-BCB7-4E0D30CE1546},,,GPGIS,7/1/2024 18:54:44,155,LATHROP LANE,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13735471.343100000172853,5228931.503200002014637,-123.387838419999994,42.452015430000003
254 LATHROP LN,,Other,,254 LATHROP LANE ,254,,,,,,,LATHROP,LANE,LN,,,,,97526,,{517882AD-19E3-4AE7-AABC-A109914352A6},,,GPGIS,7/1/2024 18:54:44,254,LATHROP LANE,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13735743.008000001311302,5228659.623099997639656,-123.390278830000000,42.450213349999999
266 LATHROP LN,,Other,,266 LATHROP LANE ,266,,,,,,,LATHROP,LANE,LN,,,,,97526,,{B7F71DA4-69ED-43E4-BA17-F3665885DB61},,,GPGIS,7/1/2024 18:54:44,266,LATHROP LANE,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13735630.547399999573827,5228654.953900001943111,-123.389268580000007,42.450182400000003
221 LATHROP LN,,Other,,221 LATHROP LANE ,221,,,,,,,LATHROP,LANE,LN,,,,,97526,,{CC2FCE0F-58E9-4F2C-929E-2F96EEAA14FF},,,GPGIS,7/1/2024 18:54:44,221,LATHROP LANE,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13735499.835900001227856,5228516.187600001692772,-123.388094379999998,42.449262599999997
242 LATHROP LN,,Other,,242 LATHROP LANE ,242,,,,,,,LATHROP,LANE,LN,,,,,97526,,{03F55EB2-C1F8-4B50-B92A-0D07A5F241B1},,,GPGIS,7/1/2024 18:54:44,242,LATHROP LANE,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13735586.971400000154972,5228434.238899998366833,-123.388877129999997,42.448719400000002
3810 UPPER RIVER RD,,Other,,3810 UPPER RIVER ROAD ,3810,,,,UPPER,,,RIVER,ROAD,RD,,,,,97526,,{0856B99F-A0B9-43E4-BAE6-6F61C2410AC3},,,GPGIS,7/1/2024 18:54:44,3810,UPPER RIVER ROAD,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13735385.989099999889731,5228119.651900000870228,-123.387071669999997,42.446634130000000
183 AZALEA DR CUTOFF,,Other,,183 AZALEA DRIVE CUTOFF ,183,,,,,,,AZALEA,DRIVE CUTOFF,DR CUTOFF,,,,,97526,,{2A87A8A6-6525-4167-B5B3-A80BD9510C2F},,,GPGIS,7/1/2024 18:54:44,183,AZALEA DRIVE CUTOFF,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13736612.197000000625849,5228259.912900000810623,-123.398086890000002,42.447563870000003
4189 UPPER RIVER RD,,Other,,4189 UPPER RIVER ROAD ,4189,,,,UPPER,,,RIVER,ROAD,RD,,,,,97526,,{C4954892-30A7-45F2-8C58-535788A3E1AC},,,GPGIS,7/1/2024 18:54:44,4189,UPPER RIVER ROAD,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13736492.710500000044703,5227818.896200001239777,-123.397013520000002,42.444640470000003
4140 UPPER RIVER RD,,Other,,4140 UPPER RIVER ROAD ,4140,,,,UPPER,,,RIVER,ROAD,RD,,,,,97526,,{75D2CDFC-73C8-4CEE-94C8-BDFC8925A9B0},,,GPGIS,7/1/2024 18:54:44,4140,UPPER RIVER ROAD,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13736333.820700000971556,5228129.544100001454353,-123.395586190000003,42.446699700000003
99 AZALEA DR CUTOFF,,Other,,99 AZALEA DRIVE CUTOFF ,99,,,,,,,AZALEA,DRIVE CUTOFF,DR CUTOFF,,,,,97526,,{DE94D2F8-5522-4273-9CA6-E06935EB425D},,,GPGIS,7/1/2024 18:54:44,99,AZALEA DRIVE CUTOFF,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13736497.954099999740720,5228055.273900002241135,-123.397060620000005,42.446207379999997
4203 UPPER RIVER RD,,Other,,4203 UPPER RIVER ROAD ,4203,,,,UPPER,,,RIVER,ROAD,RD,,,,,97526,,{3707B324-F69E-488B-8A9B-EF0C4159339C},,,GPGIS,7/1/2024 18:54:44,4203,UPPER RIVER ROAD,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13736284.880599999800324,5227986.545400001108646,-123.395146550000007,42.445751790000003
4114 UPPER RIVER RD,,Other,,4114 UPPER RIVER ROAD ,4114,,,,UPPER,,,RIVER,ROAD,RD,,,,,97526,,{024C2939-2F01-42CF-878E-975FCAED007E},,,GPGIS,7/1/2024 18:54:44,4114,UPPER RIVER ROAD,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13736020.599899999797344,5228369.637500002980232,-123.392772480000005,42.448291189999999
4044 UPPER RIVER RD,,Other,,4044 UPPER RIVER ROAD ,4044,,,,UPPER,,,RIVER,ROAD,RD,,,,,97526,,{B16D669F-AA26-4FD4-991C-5FA5CDA3A856},,,GPGIS,7/1/2024 18:54:44,4044,UPPER RIVER ROAD,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13735784.722500000149012,5228311.019400000572205,-123.390653560000004,42.447902640000002
3880 UPPER RIVER RD,,Other,,3880 UPPER RIVER ROAD ,3880,,,,UPPER,,,RIVER,ROAD,RD,,,,,97526,,{710BDEF4-B3A2-4CAB-BDD1-55644265E313},,,GPGIS,7/1/2024 18:54:44,3880,UPPER RIVER ROAD,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13735692.497000001370907,5228189.647799998521805,-123.389825079999994,42.447098109999999
3868 UPPER RIVER RD,,Other,,3868 UPPER RIVER ROAD ,3868,,,,UPPER,,,RIVER,ROAD,RD,,,,,97526,,{84E75D08-57DC-429D-9B75-A24E8D4642EF},,,GPGIS,7/1/2024 18:54:44,3868,UPPER RIVER ROAD,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13735542.990199999883771,5228186.586300000548363,-123.388482040000000,42.447077810000003
3860 UPPER RIVER RD,,Other,,3860 UPPER RIVER ROAD ,3860,,,,UPPER,,,RIVER,ROAD,RD,,,,,97526,,{1FF48E7C-29DE-44EF-A111-9151F86B822F},,,GPGIS,7/1/2024 18:54:44,3860,UPPER RIVER ROAD,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13735486.750599998980761,5228081.441600002348423,-123.387976829999999,42.446380840000003
4080 UPPER RIVER RD,,Other,,4080 UPPER RIVER ROAD ,4080,,,,UPPER,,,RIVER,ROAD,RD,,,,,97526,,{2F985A71-75B6-416E-9CE7-ABC673231F2D},,,GPGIS,7/1/2024 18:54:44,4080,UPPER RIVER ROAD,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13735944.151700001209974,5228174.741700001060963,-123.392085730000005,42.446999300000002
147 W HILLS DR,,Other,,147 WEST HILLS DRIVE ,147,,WEST,W,,,,HILLS,DRIVE,DR,,,,,97526,,{CE3E7502-DD84-44ED-A7B3-6677B84C3F8A},,,GPGIS,7/1/2024 18:54:44,147,WEST HILLS DRIVE,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13736180.980799999088049,5228217.509999997913837,-123.394213199999996,42.447282800000004
7900 MONUMENT DR,,Other,,7900 MONUMENT DRIVE ,7900,,,,,,,MONUMENT,DRIVE,DR,,,,,97526,,{8F5DAE0F-EF0E-4949-B02F-3721A483276F},,,GPGIS,7/1/2024 18:54:44,7900,MONUMENT DRIVE,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13736784.591800000518560,5241226.438600003719330,-123.399635529999998,42.533455160000003
7864 MONUMENT DR,,Other,,7864 MONUMENT DRIVE ,7864,,,,,,,MONUMENT,DRIVE,DR,,,,,97526,,{4FA8A435-883E-4E81-A174-DD8C0A22F8BA},,,GPGIS,7/1/2024 18:54:44,7864,MONUMENT DRIVE,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13736146.995699999853969,5241258.314699999988079,-123.393907909999996,42.533666160000003
7860 MONUMENT DR,,Other,,7860 MONUMENT DRIVE ,7860,,,,,,,MONUMENT,DRIVE,DR,,,,,97526,,{4DE97373-CFBD-40DB-8EE0-E8F7C3950746},,,GPGIS,7/1/2024 18:54:44,7860,MONUMENT DRIVE,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13736049.983599999919534,5241298.146899998188019,-123.393036440000003,42.533929829999998
800 ERIC LOOP,,Other,,800 ERIC LOOP ,800,,,,,,,ERIC,LOOP,LOOP,,,,,97526,,{94722889-5D3C-4CA2-AF39-F1EA5B19C8BE},,,GPGIS,7/1/2024 18:54:44,800,ERIC LOOP,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13730670.033300001174212,5237030.124399997293949,-123.344707520000000,42.505671350000000
830 ERIC LOOP,,Other,,830 ERIC LOOP ,830,,,,,,,ERIC,LOOP,LOOP,,,,,97526,,{802F9AE8-958F-4570-9AF3-086FF0637F01},,,GPGIS,7/1/2024 18:54:44,830,ERIC LOOP,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13730572.592500001192093,5237017.295000001788139,-123.343832199999994,42.505586389999998
864 ERIC LOOP,,Other,,864 ERIC LOOP ,864,,,,,,,ERIC,LOOP,LOOP,,,,,97526,,{80758BA2-0629-4CE3-9A06-39DCE04C9B80},,,GPGIS,7/1/2024 18:54:44,864,ERIC LOOP,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13730550.576400000602007,5236930.340000003576279,-123.343634420000001,42.505010530000000
1480 SOLDIER CREEK RD,,Other,,1480 SOLDIER CREEK ROAD ,1480,,,,,,,SOLDIER CREEK,ROAD,RD,,,,,97526,,{73209CC6-6F46-44AA-BA5C-E2BCF8834907},,,GPGIS,7/1/2024 18:54:44,1480,SOLDIER CREEK ROAD,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13730585.604899998754263,5237143.765900000929832,-123.343949089999995,42.506423929999997
1403 SOLDIER CREEK RD,,Other,,1403 SOLDIER CREEK ROAD ,1403,,,,,,,SOLDIER CREEK,ROAD,RD,,,,,97526,,{A17F477D-A049-475A-9F4B-0577966FA51F},,,GPGIS,7/1/2024 18:54:44,1403,SOLDIER CREEK ROAD,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13730368.366999998688698,5237073.835500001907349,-123.341997610000007,42.505960819999999
1380 SOLDIER CREEK RD,,Other,,1380 SOLDIER CREEK ROAD ,1380,,,,,,,SOLDIER CREEK,ROAD,RD,,,,,97526,,{B4D5590C-E7EF-4963-B6DB-B26F58BD0027},,,GPGIS,7/1/2024 18:54:44,1380,SOLDIER CREEK ROAD,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13730474.552099999040365,5237011.885200001299381,-123.342951479999996,42.505550560000003
1361 SOLDIER CREEK RD,,Other,,1361 SOLDIER CREEK ROAD ,1361,,,,,,,SOLDIER CREEK,ROAD,RD,,,,,97526,,{FC6886CF-4A32-4767-A8B2-A9B4B8106AA9},,,GPGIS,7/1/2024 18:54:44,1361,SOLDIER CREEK ROAD,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13730369.118400000035763,5236990.509999997913837,-123.342004360000004,42.505409000000000
1366 SOLDIER CREEK RD,,Other,,1366 SOLDIER CREEK ROAD ,1366,,,,,,,SOLDIER CREEK,ROAD,RD,,,,,97526,,{033FE167-4BE4-4D00-AF62-C13E43289F15},,,GPGIS,7/1/2024 18:54:44,1366,SOLDIER CREEK ROAD,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13730475.256000000983477,5236917.513599999248981,-123.342957810000001,42.504925579999998
1301 SOLDIER CREEK RD,,Other,,1301 SOLDIER CREEK ROAD ,1301,,,,,,,SOLDIER CREEK,ROAD,RD,,,,,97526,,{250BCEA4-FCC5-4A47-A615-5D6D8EDF6E38},,,GPGIS,7/1/2024 18:54:44,1301,SOLDIER CREEK ROAD,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13730368.851399999111891,5236908.164999999105930,-123.342001960000005,42.504863669999999
1276 SOLDIER CREEK RD,,Other,,1276 SOLDIER CREEK ROAD ,1276,,,,,,,SOLDIER CREEK,ROAD,RD,,,,,97526,,{22C58FA0-F86A-4E29-A5BA-9A3DCAA7407E},,,GPGIS,7/1/2024 18:54:44,1276,SOLDIER CREEK ROAD,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13730475.626699998974800,5236841.421099998056889,-123.342961140000000,42.504421649999998
1251 SOLDIER CREEK RD,,Other,,1251 SOLDIER CREEK ROAD ,1251,,,,,,,SOLDIER CREEK,ROAD,RD,,,,,97526,,{5452FE72-1F71-4197-B3BD-E574F12A6ED7},,,GPGIS,7/1/2024 18:54:44,1251,SOLDIER CREEK ROAD,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13730368.570900000631809,5236825.491200000047684,-123.341999439999995,42.504316160000002
1225 SOLDIER CREEK RD,,Other,,1225 SOLDIER CREEK ROAD ,1225,,,,,,,SOLDIER CREEK,ROAD,RD,,,,,97526,,{E85D376A-2C78-4204-97BA-69A68870E108},,,GPGIS,7/1/2024 18:54:44,1225,SOLDIER CREEK ROAD,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13730367.999099999666214,5236742.455600000917912,-123.341994299999996,42.503766239999997
30 NELSON WAY,,Other,,30 NELSON WAY ,30,,,,,,,NELSON,WAY,WAY,,,,,97526,,{2792501D-6561-433E-8932-919062DDD5F0},,,GPGIS,7/1/2024 18:54:44,30,NELSON WAY,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13730330.727600000798702,5236675.084600001573563,-123.341659489999998,42.503320060000000
932 PALOMINO DR,,Other,,932 PALOMINO DRIVE ,932,,,,,,,PALOMINO,DRIVE,DR,,,,,97526,,{748CEF48-8347-4F98-ACE3-C697C8DB855E},,,GPGIS,7/1/2024 18:54:44,932,PALOMINO DRIVE,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13731624.909800000488758,5238280.529200002551079,-123.353285319999998,42.513951579999997
350 LANCE DR,,Other,,350 LANCE DRIVE ,350,,,,,,,LANCE,DRIVE,DR,,,,,97526,,{8B513948-3943-4844-B87A-620546FF7A8A},,,GPGIS,7/1/2024 18:54:44,350,LANCE DRIVE,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13731883.403000000864267,5238039.881399996578693,-123.355607410000005,42.512358079999998
142 LANCE DR,,Other,,142 LANCE DRIVE ,142,,,,,,,LANCE,DRIVE,DR,,,,,97526,,{7D1A4A49-1CEC-41A9-A488-4868174A695B},,,GPGIS,7/1/2024 18:54:44,142,LANCE DRIVE,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13731983.169300001114607,5237796.784999996423721,-123.356503619999998,42.510748329999998
4984 MONUMENT DR,,Other,,4984 MONUMENT DRIVE ,4984,,,,,,,MONUMENT,DRIVE,DR,,,,,97526,,{259016D8-6111-49EE-A52F-CDD60793A035},,,GPGIS,7/1/2024 18:54:44,4984,MONUMENT DRIVE,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13732965.375300001353025,5238008.946500003337860,-123.365326929999995,42.512153240000004
464 SAN FRANCISCO ST,,Other,,464 SAN FRANCISCO STREET ,464,,,,,,,SAN FRANCISCO,STREET,ST,,,,,97526,,{34C306DC-2E68-4C33-9D45-695C473C6E44},,,GPGIS,7/1/2024 18:54:44,464,SAN FRANCISCO STREET,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13732907.962700000032783,5237694.756800003349781,-123.364811180000004,42.510072710000003
560 SAN FRANCISCO ST,,Other,,560 SAN FRANCISCO STREET ,560,,,,,,,SAN FRANCISCO,STREET,ST,,,,,97526,,{ED361868-5FE2-41AE-BF02-7027520545F4},,,GPGIS,7/1/2024 18:54:44,560,SAN FRANCISCO STREET,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13733100.485700000077486,5237541.046700000762939,-123.366540650000005,42.509054829999997
6201 HIGHLAND AVE,,Other,,6201 HIGHLAND AVENUE ,6201,,,,,,,HIGHLAND,AVENUE,AVE,,,,,97526,,{09D8EFDA-CBD1-4DEA-955F-58C8C068A3F0},,,GPGIS,7/1/2024 18:54:44,6201,HIGHLAND AVENUE,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13732513.124099999666214,5237778.945299997925758,-123.361264289999994,42.510630200000001
6061 HIGHLAND AVE,,Other,,6061 HIGHLAND AVENUE ,6061,,,,,,,HIGHLAND,AVENUE,AVE,,,,,97526,,{8592B52E-60AE-4FF3-BE0F-C52B96146E3A},,,GPGIS,7/1/2024 18:54:44,6061,HIGHLAND AVENUE,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13732379.952999999746680,5237571.986900001764297,-123.360067990000005,42.509259720000003
6195 HIGHLAND AVE,,Other,,6195 HIGHLAND AVENUE ,6195,,,,,,,HIGHLAND,AVENUE,AVE,,,,,97526,,{A17D7CF3-A329-4C6F-B827-707D44F7754C},,,GPGIS,7/1/2024 18:54:44,6195,HIGHLAND AVENUE,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13732237.611800000071526,5237791.870200000703335,-123.358789320000000,42.510715789999999
364 MARY HARRIS WAY,,Other,,364 MARY HARRIS WAY ,364,,,,,,,MARY HARRIS,WAY,WAY,,,,,97526,,{3579E0D4-E7F2-43E7-A716-1DB95E804246},,,GPGIS,7/1/2024 18:54:44,364,MARY HARRIS WAY,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13733193.350999999791384,5237782.132700003683567,-123.367374870000006,42.510651310000000
5115 UPPER RIVER RD,,Other,,5115 UPPER RIVER ROAD ,5115,,,,UPPER,,,RIVER,ROAD,RD,,,,,97526,,{FE977B4A-2F4D-45DD-BDA0-68BA768C9E0F},,,GPGIS,7/1/2024 18:54:44,5115,UPPER RIVER ROAD,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13738248.400699999183416,5227952.082999996840954,-123.412785150000005,42.445523350000002
5065 UPPER RIVER RD,,Other,,5065 UPPER RIVER ROAD ,5065,,,,UPPER,,,RIVER,ROAD,RD,,,,,97526,,{B5BCCFDE-3396-43FD-82B9-2B0819FF46B7},,,GPGIS,7/1/2024 18:54:44,5065,UPPER RIVER ROAD,,"GRANTS PASS, OR 97526",GRANTS PASS,OR,,GRANTS PASS,-13738152.558800000697374,5227851.038199998438358,-123.411924189999993,42.444853539999997
