LICENSENUMBER,ContactName,CompanyName,DBA,NumberOfEmployees,Location,CodeNumber,BusinessType,BUSINESSPHONE,OpenedDate,BLGLOBALENTITYEXTENSIONID,situs_addressline1,situs_addressline2,situs_addressline3,situs_predirection,situs_streettype,situs_postdirection,situs_unitorsuite,situs_city,situs_state,situs_postalcode,mailing_addressline1,mailing_addressline2,mailing_addressline3,mailing_predirection,mailing_streettype,mailing_postdirection,mailing_unitorsuite,mailing_city,mailing_state,mailing_postalcode,ISSUEDDATE,EXPIRATIONDATE
BTAX-041412-08-2025,KATHLEEN KELLY,KATHLEEN M KELLY CPA         ,,4,Inside City Limits,4239,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,5414712487,1/1/1999 0:00,2B6ACA85-F40B-478C-ACAC-E33F0E31D367,717,5TH,,NW,ST,, ,GRANTS PASS,OR,97526,717,5TH,,NW,ST,,,GRANTS PASS,OR,97526,8/19/2025 14:36,8/31/2026 14:36
BTAX-041414-08-2025,,MOUNTAIN ALLOYS CORPORATION   ,,26,Inside City Limits,339999,Manufacturing-Misc Manufacturing,5414799755,4/1/1989 0:00,DAE328D0-52A4-4F13-8B29-ADAB54A1EAFC,201,10TH,,SE,ST,,,GRANTS PASS,OR,97526,201,10TH,,SE,ST,,,GRANTS PASS,OR,97526,8/19/2025 14:51,8/31/2026 14:51
BTAX-041417-08-2025,DAVID  WILLIAMS,MINI PET MART                 ,,7,Inside City Limits,459910,Retail-Pets & Pet Supplies,5414797506,1/1/1990 0:00,7C363014-08E9-4B14-9FFE-014FF036DC2E,1072,ROGUE RIVER,, ,HWY,,,GRANTS PASS,OR,97527,1072,ROGUE RIVER,,SE,HWY,,,GRANTS PASS,OR,97527,8/19/2025 15:11,8/31/2026 15:11
BTAX-041418-08-2025,Tiffany Ogren,GRANDMA'S HAVEN LLC,,7,Inside City Limits,621610,Medical-Home Health Care Services,5419555054,3/9/2017 0:00,f5e58109-3c27-4d3d-a835-dc693d694a36,192,SARADAN,,,LN,,,GRANTS PASS,OR,97527,1630,WILLIAMS,,,HWY,,#98,GRANTS PASS,OR,97527,8/19/2025 15:21,8/31/2026 15:21
BTAX-041420-08-2025,R DANIEL  SIMCOE,DANIEL SIMCOE ATTORNEY        ,,2,Inside City Limits,541110,Lawyer,5414741162,1/1/1990 0:00,5D4F2D55-1719-4200-9AA6-6F4430B6C498,242,E,,NW,ST,, ,GRANTS PASS,OR,97526,242,E,,NW,ST,,,GRANTS PASS,OR,97526,8/19/2025 15:46,8/31/2026 15:46
BTAX-041421-08-2025,CALVIN G  SCHMIDT,CALVIN G SCHMIDT RENTALS      ,,2,Outside City Limits,531110,Rental Units/Landlord,5418469985,2/2/1996 0:00,C39D087C-52C5-4822-B6C0-128787977D31,,,,,,,,,,,242,MISSOURI FLAT,,,RD,,,GRANTS PASS,OR,97527,8/19/2025 15:47,8/31/2026 15:47
BTAX-041423-08-2025,ROBERT WATTS,IMPERIAL HOMES                ,,4,Inside City Limits,238190,Contractor-General/Building Exterior,5414797793,1/4/1994 0:00,39CD924F-880F-4792-8D09-9FFDE0BD4896,297,PARK,,E,ST,, ,GRANTS PASS,OR,97527,PO BOX 1824,,,,,,,GRANTS PASS,OR,97528,8/19/2025 15:50,8/31/2026 15:50
BTAX-041425-08-2025,JAMES WARRINER,JW COMPUTER SERVICE           ,,2,Inside City Limits,811210,Computer/Office Machine Maint,5414720300,10/5/2007 0:00,C9C4BEA6-CF90-4EEF-B8D9-75E40331386D,536,MANZANITA,,NW,AVE,, ,GRANTS PASS,OR,97526,536,MANZANITA,,NW,AVE,,,GRANTS PASS,OR,97526,8/19/2025 15:55,8/31/2026 15:55
BTAX-041427-08-2025,RANDY  JENTZSCH,RANDY K JENTZSCH CPA LLC   ,,8,Inside City Limits,4239,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,5414798082,1/1/1997 0:00,98996B3B-0667-4FC8-94AE-069529AEBD37,211,ROGUE RIVER,, ,HWY,, ,GRANTS PASS,OR,97527,211,ROGUE RIVER,,,HWY,,,GRANTS PASS,OR,97527,8/19/2025 16:00,8/31/2026 16:00
BTAX-041429-08-2025,LUCAS IAN & AUDREA JEAN  HYDE,L HYDE TRUCKING LLC           ,,2,Outside City Limits,484220,Transportation-Trucking (Freight),5414768989,6/1/2007 0:00,BE211106-6685-4C77-9B1D-674185E6BC66,,,,,,,,,,,2472,LOWER RIVER,,,RD,,,GRANTS PASS,OR,97526,8/19/2025 16:11,8/31/2026 16:11
BTAX-041430-08-2025,,MID ROGUE IMAGING CENTER      ,,9,Inside City Limits,621512,Medical-Diagnostic Imaging Center,5414725154,1/1/2014 0:00,67F1F39B-AD9D-47C7-864C-8CA07AAB1135,1619,HAWTHORNE,,NW,AVE,, ,GRANTS PASS,OR,97526,1619,HAWTHORNE ,,NW,AVE,,SUITE 102,GRANTS PASS,OR,97526,8/19/2025 16:14,8/31/2026 16:14
BTAX-041431-08-2025,,BOOTH STREET SELF STORAGE     ,,3,Inside City Limits,493110,Storage & General Warehousing,5414791505,5/1/1990 0:00,9AADF8A4-E796-4ECB-9926-4B5F400D1DA4,214,BOOTH,,NW,ST,, ,GRANTS PASS,OR,97526,PO BOX 674,,,,,,,GRANTS PASS,OR,97526,8/19/2025 16:16,8/31/2026 16:16
BTAX-041435-08-2025,"LISA/MATHEWS, AMBER  JOHNSON",A NAIL DETAIL                 ,,2,Inside City Limits,812113,Nail Salon,5414729210,11/3/2003 0:00,C667CB3C-DB4C-4A70-B524-A0D98957405C,1573,6TH,,NE,ST,,,GRANTS PASS,OR,97526,1573,6TH,,NE,ST,,,GRANTS PASS,OR,97526,8/19/2025 16:23,8/31/2026 16:23
BTAX-041436-08-2025,DAVID  MAYS,BUGS NORTHWEST                ,,6,Inside City Limits,561710,Pest Control,5414725003,11/4/2009 0:00,8789FD83-E949-4ECC-9376-C804410143CD,2027,G,,SW,ST,, ,GRANTS PASS,OR,97526,2027,G,,SW,ST,, ,GRANTS PASS,OR,97526,8/19/2025 16:24,8/31/2026 16:24
BTAX-041437-08-2025,ANDREW J & ALEXANDER  SANDEEN,SANDEEN MASONRY               ,,9,Outside City Limits,238140,Contractor-Masonry,5414798844,3/1/1993 0:00,DDE26400-AFDC-4BD2-B9FD-D55C8C764305,1600,DOWELL,,,RD,,,GRANTS PASS,OR,97526,PO BOX 2247,,,,,,,GRANTS PASS,OR,97528,8/19/2025 16:30,8/31/2026 16:30
BTAX-041440-08-2025,MELISSA DEPUE,FANCY VANILLA BEAN LLC,,1,Inside City Limits,424490,Retail-Misc Direct Selling Establishment,5035109206,8/8/2023 0:00,e87e9f0c-0ddf-4d41-8cc1-1cfdfc8c30bd,,,,,,,,,,,367,EL CAMINO,,,WAY,,,GRANTS PASS,OR,97526,8/20/2025 10:13,8/31/2026 10:13
BTAX-041441-08-2025,KURT & MARIANNE  HEATER,KURT & MARIANNE HEATER RENTALS,,2,Inside City Limits,531110,Rental Units/Landlord,5414794073,10/1/2005 0:00,229AF80E-BB0E-4E5D-BF29-2A02509D574C,,,,,,,,,,,1454,PINECREST,,,DR,,,GRANTS PASS,OR,97526,8/20/2025 10:19,8/31/2026 10:19
BTAX-041442-08-2025,TERRY D  MILLER,CITY PLYWOOD CENTER           ,,11,Inside City Limits,321999,Manufacturing-Wood Products,5414796114,11/6/1997 0:00,0567798B-E6C2-47B4-9AA2-150975A328C5,515,F,,NE,ST,, ,GRANTS PASS,OR,97526,515,F,,NE,ST,,,GRANTS PASS,OR,97526,8/20/2025 10:23,8/31/2026 10:23
BTAX-041445-08-2025,BRENDA  COURTNEY,STUDIO G HAIR AND NAIL COMPANY,,2,Inside City Limits,812112,Beauty Salon,5414762591,7/1/2003 0:00,7E5B8C68-FDCC-4F0E-AFF9-75881732EFCE,432,6TH,,NW,ST,,STE 109,GRANTS PASS,OR,97526,432,6TH,,NW,ST,,STE 109,GRANTS PASS,OR,97526,8/20/2025 10:45,8/31/2026 10:45
BTAX-041446-08-2025,SHERYL  MORACE-MIKEL,DIVERSIFIED INVESTMENTS       ,,1,Inside City Limits,523999,Finance-Investment Activities,5414747371,1/8/2008 0:00,2600590E-8881-4D54-88B2-E20783F0449A,777,7TH,,NE,ST,,,GRANTS PASS,OR,97526,777,7TH,,NE,ST,, ,GRANTS PASS,OR,97526,8/20/2025 11:01,8/31/2026 11:01
BTAX-041448-08-2025,JIM  CLARK,JIM CLARK'S CONSIGNMENT COUNTRY,,5,Inside City Limits,441120,Auto-Used Car Dealer,5414760818,12/4/1982 0:00,9A31864E-1D62-4D58-A6F9-38214E2A5BAF,1630,ROGUE RIVER,, ,HWY,, ,GRANTS PASS,OR,97527,1630,ROGUE RIVER,,,HWY,,,GRANTS PASS,OR,97527,8/20/2025 11:28,8/31/2026 11:28
BTAX-041451-08-2025,,HENDERSON'S LINE-UP BRAKE     ,,20,Inside City Limits,811111,Auto-General Repair,5414792882,1/1/1961 0:00,1C9AF8E6-95D3-4C3A-B659-FC3B29679821,417,HENDERSON,,SW,LN,, ,GRANTS PASS,OR,97527,417,HENDERSON,,SW,LN,,,GRANTS PASS,OR,97527,8/20/2025 12:25,8/31/2026 12:25
BTAX-041455-08-2025,"MICHAEL & COLE, MARK  MORRIS",HEIRLOOM ORGANICS LLC        ,,31,Inside City Limits,456191,Retail-Health Food & Supplements,5413064278,9/15/2009 0:00,EC3F41E8-9037-4D62-8188-79B611D3EF18,,,,,,,,,,,2001,FOOTHILL,,NE,BLVD,,STE A9,GRANTS PASS,OR,97526,8/20/2025 12:46,8/31/2026 12:46
BTAX-041457-08-2025,SHANNON  HEALEY,SHANNON'S PUB LLC            ,,6,Inside City Limits,722410,Bar/Tavern,5414796216,10/1/2006 0:00,3A1A4FC4-3725-4E39-8B27-E637F3D872DA,772,6TH,,SW,ST,, ,GRANTS PASS,OR,97526,301,RIDGERCREST,,,DR,,,GRANTS PASS,OR,97527,8/20/2025 12:49,8/31/2026 12:49
BTAX-041459-08-2025,WILLIAM JOHNSON,B. JOHNSON & FAMILY LLC,TIMBERLINE DESIGNS,9,Inside City Limits,238190,Contractor-General/Building Exterior,5416213195,1/4/2017 0:00,db5cccf9-fc2c-43cb-97f3-0eb34bb4e6f1,1584,N,,SE,ST,, ,GRANTS PASS,OR,97526,1584,N,,SE,ST,,,GRANTS PASS,OR,97526,8/20/2025 12:52,8/31/2026 12:52
BTAX-041460-08-2025,FAYE F & ROBERT  DAWSON,JEFFERSON STATE MORTGAGE COMPANY,,7,Inside City Limits,522310,Finance-Loan Broker(Mortg/Nonmortg),5414790967,2/6/1989 0:00,AE7B6FA6-D448-4433-8541-DC907444506A,122,SAVAGE,,NE,ST,, ,GRANTS PASS,OR,97526,122,SAVAGE,,NE,ST,,,GRANTS PASS,OR,97526,8/20/2025 12:55,8/31/2026 12:55
BTAX-041462-08-2025,FAYE  DAWSON,FAYE DAWSON RENTALS           ,,2,Inside City Limits,531110,Rental Units/Landlord,5414790967,7/1/1990 0:00,79E817C1-BCF5-4987-8ADD-11E47DAA60B5,122,SAVAGE,,NE,ST,, ,GRANTS PASS,OR,97526,122,SAVAGE,,NE,ST,,,GRANTS PASS,OR,97526,8/20/2025 13:01,8/31/2026 13:01
BTAX-041464-08-2025,KIM E  BURTON,ETERNAL BODY ART              ,,1,Inside City Limits,812199,Tattoo/Piercing Shop,5414710607,1/3/2011 0:00,984B61E4-07E1-489C-866B-EF2300AF7662,729,G,,SW,ST,, ,GRANTS PASS,OR,97526,729,G,,SW,ST,,,GRANTS PASS,OR,97526,8/20/2025 13:06,8/31/2026 13:06
BTAX-041466-08-2025,JORDAN MORTENSON,RECTECH LLC.,RECTECH,1,Inside City Limits,561621,Security System Services,5412913887,10/2/2017 0:00,ba066fd2-3b81-4dbd-9675-929a73468e62,,,,,,,,,,,155,JASON,,,WAY,,,GRANTS PASS,OR,97527,8/20/2025 14:33,8/31/2026 14:33
BTAX-041469-08-2025,,"ROBIN C.  DAVIS dba 1881 PROPERTIES, LLC",1881 PROPERTIES LLC,3,Outside City Limits,531110,Rental Units/Landlord,5414711881,1/1/1993 0:00,2D0B975E-4518-4145-8C18-DBA630A15C3B,,,,,,,,,,,PO BOX 1881,,,,,,,GRANTS PASS,OR,97528,8/20/2025 14:45,8/31/2026 14:45
BTAX-041475-08-2025,,UNITED FINANCE COMPANY        ,,4,Inside City Limits,522291,Finance-Consumer Lending,5414766801,3/7/1998 0:00,11187B53-95F9-464B-8762-3C80E9DA6AA2,1303,7TH,,NE,ST,, ,GRANTS PASS,OR,97526,PO BOX 370,,,,,,,GRANTS PASS,OR,97528,8/20/2025 15:12,8/31/2026 15:12
BTAX-041476-08-2025,,CNC PROPERTIES LLC           ,,1,Inside City Limits,531210,Real Estate Agents/Brokers,5414796708,5/14/2001 0:00,C80F907A-A8CF-46B6-BF75-F08E47FD797F,832,D,,NE,ST,,,GRANTS PASS,OR,97526,337,COPELAND,,NW,DR,,,GRANTS PASS,OR,97526,8/20/2025 15:13,8/31/2026 15:13
BTAX-041477-08-2025,RAY D & MAUREEN M  COLSON,ORCHARD HILLS TRUST,,1,Inside City Limits,531110,Rental Units/Landlord,5414769150,12/14/2007 0:00,8A072614-906F-4E41-A3B7-4345D062C6DF,1500,HIGHLAND,,NW,AVE,, ,GRANTS PASS,OR,97526,1500,HIGHLAND,,NW,AVE,,,GRANTS PASS,OR,97526,8/20/2025 15:39,8/31/2026 15:39
BTAX-041478-08-2025,,EVERGREEN FEDERAL SAVINGS & LOAN,,6,Inside City Limits,522130,Finance-Credit Union,5414793351,11/17/1997 0:00,34CA8DC7-3037-4925-B6E9-203F6BC8FBF4,1329,6TH,,NE,ST,, ,GRANTS PASS,OR,97526,PO BOX 2020,,,,,,,GRANTS PASS,OR,97528,8/20/2025 15:41,8/31/2026 15:41
BTAX-041479-08-2025,,EVERGREEN FEDERAL SAVINGS & LOAN,,66,Inside City Limits,522130,Finance-Credit Union,5414793351,11/17/1997 0:00,F2F2F72A-1CA0-4E3F-A698-C5CA23DC51A9,969,6TH,,SE,ST,, ,GRANTS PASS,OR,97526,PO BOX 2020,,,,,,,GRANTS PASS,OR,97528,8/20/2025 15:48,8/31/2026 15:48
BTAX-041483-08-2025,WESLEY  LIPPERT,LIPPERT'S CARPET ONE          ,,11,Inside City Limits,449121,Floor Covering Retailers,5414767641,7/1/1986 0:00,B34D9C85-A35D-408B-89D2-5B07C76EFF79,1150,ROGUE RIVER,, ,HWY,, ,GRANTS PASS,OR,97527,PO BOX 580,,,,,,,GRANTS PASS,OR,97528,8/20/2025 16:10,8/31/2026 16:10
BTAX-041486-08-2025,,LA QUINTA INN & SUITES        ,,27,Inside City Limits,721110,Hotel/Motel,5414720152,7/29/1998 0:00,F5BDD054-DF3C-4146-BCD1-190AA340A17A,243,MORGAN,,NE,LN,, ,GRANTS PASS,OR,97526,243,MORGAN,,NE,LN,,,GRANTS PASS,OR,97526,8/21/2025 15:10,8/31/2026 15:10
BTAX-041489-08-2025,LARRY  HADSELL,VINYL DOG RECORDS,,1,Inside City Limits,459140,Retail-Music/Instruments & Supplies,5416591043,11/7/2005 0:00,DB073E02-13E2-4E5C-B9D2-C4B4B45EA3D6,220,7TH,,SE,ST,,STE B,GRANTS PASS,OR,97526,220,7TH,,SE,ST,,STE B,GRANTS PASS,OR,97526,8/21/2025 15:48,8/31/2026 15:48
BTAX-041490-08-2025,WENDY WONNELL,THE RED CANARY GIFT SHOP & CRAFTERS OUTLET,,1,Inside City Limits,459420,Retail-Gift & Novelty Store,5412180154,11/9/2015 0:00,A0A66DEB-FD5B-4387-9D1E-3C5CCBA3026A,129,H,,SE,ST,,,GRANTS PASS,OR,97526,1580,WILLOW,,,LN,,,GRANTS PASS,OR,97527,8/21/2025 16:05,8/31/2026 16:05
BTAX-041492-08-2025,BRIAN & ALISON  MALONE,BRIAN & ALISON MALONE RENTALS ,,1,Outside City Limits,531110,Rental Units/Landlord,5414742881,7/1/1989 0:00,242C7C8D-3C71-4E6E-A4E5-7E348F84AD46,,,,,,,,,,,C/O REALWISE PROPERTY MANAGEMENT,141 NW C,,,ST,,,GRANTS PASS,OR,97526,8/22/2025 9:30,8/31/2026 9:30
BTAX-041498-08-2025,SEAN WARD,PRIME SEAN WARD PROPERTIES,,1,Inside City Limits,531210,Real Estate Agents/Brokers,5414411140,8/28/2020 0:00,609ecad9-2bce-443e-94f1-c6a70e034166,,,,,,,,,,,147,BRYCE,,NE,CT,,,GRANTS PASS,OR,97526,8/22/2025 10:58,8/31/2026 10:58
BTAX-041499-08-2025,TED  HOLMAN,AUTOMANIA LLC                 ,,1,Inside City Limits,441120,Auto-Used Car Dealer,5414798888,4/1/1993 0:00,21AF6B14-2C78-4361-88E6-5690615B1A61,895,GLADIOLA,,SE,DR,, ,GRANTS PASS,OR,97526,PO BOX 1927,,,,,,,GRANTS PASS,OR,97528,8/22/2025 11:01,8/31/2026 11:01
BTAX-041500-08-2025,LEE HOPKINS,LEE H HOPKINS RENTALS         ,,1,Inside City Limits,531110,Rental Units/Landlord,5419412221,11/28/2005 0:00,D3802F33-2AB4-4E9C-B709-A2489AED5C73,,,,,,,,,,,C/O CENTURY 21 JC JONES,,858 NW 6TH ST,,,,,GRANTS PASS,OR,97526,8/22/2025 11:06,8/31/2026 11:06
BTAX-041503-08-2025,,"MY HEARING CENTERS, LLC",,7,Inside City Limits,456199,All Other Miscellaneous Store Retailers (Except Tobacco Stores),8014466380,8/5/2021 0:00,bd2e6c3d-9f22-4434-a21c-1c8c155592a7,1833,NEBRASKA,,,AVE,,D,GRANTS PASS,OR,97527,1833,NEBRASKA,,,AVE,,D,GRANTS PASS,OR,97527,8/22/2025 11:23,8/31/2026 11:23
BTAX-041508-08-2025,,SCOTT C RUGH                  ,,1,Outside City Limits,238110,Contractor-Concrete/Found/Structural,5412182888,3/30/2009 0:00,2BCF4071-4C98-416B-8EFC-B2706E749E98,,,,,,,,,,,538,HONEYLYNN,,,LN,,,GRANTS PASS,OR,97527,8/22/2025 12:05,8/31/2026 12:05
BTAX-041509-08-2025,"GAIL GILTNER, FNP-C",NORTHWEST FAMILY PRACTICE LLC,,7,Inside City Limits,621111,Medical-Physician,5419165500,8/6/2019 0:00,732531b8-3d19-47ea-af9d-2992b12fd24d,1600,6TH,,NW,ST,,,GRANTS PASS,OR,97526,1600,6TH,,NW,ST,,,GRANTS PASS,OR,97526,8/22/2025 12:17,8/31/2026 12:17
BTAX-041510-08-2025,JASON BURLEY,"PURPOSE FIRST FINANCIAL, LLC ",,3,Inside City Limits,525990,Finance-Misc Finance,5414740824,8/17/2018 0:00,204b77d3-1f72-48fe-a5f5-da1cc9d53697,820,7TH,,NE,ST,,SUITE 2,GRANTS PASS,OR,97526,820,7TH,,NE,ST,,SUITE 2,GRANTS PASS,OR,97527,8/22/2025 12:35,8/31/2026 12:35
BTAX-041516-08-2025,KYNDRA & DANIEL  BURDIS,KYNDRA & DANIEL BURDIS RENTALS,,2,Inside City Limits,531110,Rental Units/Landlord,5414728179,2/5/2004 0:00,F40C498A-8E16-4921-9592-6EE8AFD1E90E,1051,6TH,,NE,ST,, ,GRANTS PASS,OR,97527,1051,6TH,,NE,ST,,PMB 900,GRANTS PASS,OR,97526,8/22/2025 14:41,8/31/2026 14:41
BTAX-041518-08-2025,RAKESH SHARMA,R & M MARKET COMPANY LLC,A-1 MARKET #14,2,Inside City Limits,445131,Convenience Store,5414792240,9/14/2021 0:00,c7369158-fecf-41cb-8f42-2ae52dfd54bb,1204,6TH,,NW,ST,,,GRANTS PASS,OR,97526,225,8TH,,SE,ST,,,GRANTS PASS,OR,97526,8/22/2025 15:07,8/31/2026 15:07
BTAX-041519-08-2025,DIRK H  JOHNSON,DJ'S BUMP & PAINT PARLOR      ,DJ'S BUMP & PAINT,6,Inside City Limits,811121,"Auto-Body, Paint & Interior",5414765604,5/1/1981 0:00,A84A3833-9CD5-436D-BC77-CE4DA8EB99F3,325,G,,SW,ST,, ,GRANTS PASS,OR,97526,325,G,,SW,ST,,,GRANTS PASS,OR,97526,8/22/2025 15:24,8/31/2026 15:24
BTAX-041520-08-2025,,DATA PLUMBING INC            ,,3,Inside City Limits,238220,Plumber,5416605774,10/1/1997 0:00,8BA83F95-2AD8-465C-AAA3-02F0EE4D50FC,,,,,,,,,,,280,HARTMAN,,,LN,,,GRANTS PASS,OR,97527,8/22/2025 16:17,8/31/2026 16:17
BTAX-041522-08-2025,PATRICK KELLY,PATRICK J KELLY               ,,4,Inside City Limits,541110,Lawyer,5414741908,7/1/1991 0:00,865ABA62-8405-4F03-AB1E-7B385D40EFD0,717,5TH,,NW,ST,, ,GRANTS PASS,OR,97526,717,5TH,,NW,ST,,,GRANTS PASS,OR,97526,8/25/2025 10:16,8/31/2026 10:16
BTAX-041523-08-2025,WILLIAM DANIELS,OREGON FUTBOL ACADEMY,,8,Inside City Limits,713990,Amusement/Recreation Misc,5414711099,4/17/2017 0:00,619642fc-b831-477f-b478-1636c5171eba,144,G,,SW,ST,, ,GRANTS PASS,OR,97526,144,G,,SW,ST,,,GRANTS PASS,OR,97526,8/25/2025 10:18,8/31/2026 10:18
BTAX-041526-08-2025,MARIA ROSA  LOPEZ,TAMLES ROSA MARIA            ,,2,Inside City Limits,722320,Caterer,5414762515,8/18/2008 0:00,6B056F8C-8E4E-4CC6-8921-7ADA6E6CE66B,774,6TH,,SW,ST,, ,GRANTS PASS,OR,97526,2395,REDWOOD,,,AVE,,SPC 84,GRANTS PASS,OR,97527,8/25/2025 10:57,8/31/2026 10:57
BTAX-041528-08-2025,Cameron DuBoise,Grants Pass Barber Shop LLC,,7,Inside City Limits,812111,Barber Shop,,7/20/2020 0:00,10267d78-9728-4bf9-b9b2-46b9a9b6af8c,232,6TH,,NW,ST,,A,GRANTS PASS,OR,97526,232,6TH,,NW,ST,,A,GRANTS PASS,OR,97526,8/25/2025 11:38,8/31/2026 11:38
BTAX-041529-08-2025,TODD  BINGHAM,CORAL SEA SCUBA & WATER SPORTS,,2,Inside City Limits,459110,Retail-Sporting Goods,5414728111,4/25/1997 0:00,6C6A73C7-05AE-43CF-937B-4D5C2BC5153A,123,M,,SW,ST,, ,GRANTS PASS,OR,97526,123,M,,SW,ST,,,GRANTS PASS,OR,97526,8/25/2025 11:40,8/31/2026 11:40
BTAX-041532-08-2025,"MS, PT, RONALD L  LOPEZ",ACTION REHABILITATION & SPORTS,,6,Inside City Limits,621111,Medical-Physician,5414721799,9/7/2004 0:00,BFEC762D-79AF-4F1C-9655-687132B1DE5A,,,,,,,,,,,1619,HAWTHORNE ,,NW,AVE,,STE 109,GRANTS PASS,OR,97526,8/25/2025 14:38,8/31/2026 14:38
BTAX-041535-08-2025,,EVERGREEN FEDERAL'S AFFORDABLE HOUSING COMPANY,,3,Inside City Limits,522310,Finance-Loan Broker(Mortg/Nonmortg),5414793351,12/1/2006 0:00,E3D8D581-FFBD-4AE3-98D1-F2C9431D24B3,969,6TH,,SE,ST,, ,GRANTS PASS,OR,97526,PO BOX 2020,,,,,,,GRANTS PASS,OR,97528,8/25/2025 15:19,8/31/2026 15:19
BTAX-041537-08-2025,DAVID  THOMASON,THOMASON BEAN CO INC         ,THE HUMAN BEAN II ,11,Inside City Limits,722515,Snack and Nonalcoholic Beverage Shop,5419559506,4/20/2004 0:00,6D82D1DF-89A7-4BB2-9241-2DADA9977C28,109,CURTIS,, ,DR,, ,GRANTS PASS,OR,97527,206,7TH,,NE,ST,, ,GRANTS PASS,OR,97526,8/25/2025 15:27,8/31/2026 15:27
BTAX-041538-08-2025,DAVID  THOMASON,THOMASON BEAN CO INC         ,THE HUMAN BEAN ,16,Inside City Limits,722515,Snack and Nonalcoholic Beverage Shop,5419559506,12/31/2003 0:00,3AABC166-85C0-4849-966E-0DA2F880EFAD,840,F,,NE,ST,, ,GRANTS PASS,OR,97526,206,7TH,,NE,ST,, ,GRANTS PASS,OR,97526,8/25/2025 15:31,8/31/2026 15:31
BTAX-041539-08-2025,DAVID  THOMASON,THOMASON BEAN CO INC         ,THE HUMAN BEAN III ,11,Inside City Limits,722515,Snack and Nonalcoholic Beverage Shop,5419559506,12/20/2006 0:00,6433B935-A1C8-42EA-9A4F-A21442FF193C,1885,6TH,,NE,ST,, ,GRANTS PASS,OR,97526,206,7TH,,NE,ST,, ,GRANTS PASS,OR,97526,8/25/2025 15:34,8/31/2026 15:34
BTAX-041540-08-2025,"SAVE & DUNTSCH, RYAN  BRICKE",BATTERY SOLUTIONS INC         ,,3,Inside City Limits,441330,Retail-Automotive Parts & Accessories,5414794343,11/1/2014 0:00,428FFB03-59F4-44D5-8499-488C44AE040E,869,ROGUE RIVER,, ,HWY,, ,GRANTS PASS,OR,97527,869,ROGUE RIVER HWY    ,,,HWY,,,GRANTS PASS,OR,97527,8/25/2025 15:48,8/31/2026 15:48
BTAX-041541-08-2025,MICHAEL & HEIDI  DUNBAR,BRIDGE STREET AUTO INC,,7,Inside City Limits,811111,Auto-General Repair,5419551002,5/7/2002 0:00,11709CED-F4A2-4CDE-8427-28D297971C3E,2015,BRIDGE,,SW,ST,, ,GRANTS PASS,OR,97526,2015,BRIDGE ,,SW,ST,,,GRANTS PASS,OR,97526,8/25/2025 15:52,8/31/2026 15:52
BTAX-041543-08-2025,LEE BEAUMONT IV,EMC PATCHES LLC,,2,Inside City Limits,339999,Manufacturing-Misc Manufacturing,5415823720,8/7/2018 0:00,fd33c870-c8b8-4c2b-8413-3f5c39625047,1624,N,,SE,ST,,UNIT 4A,GRANTS PASS,OR,97526,1624,N,,SE,ST,,UNIT 4A,GRANTS PASS,OR,97526,8/25/2025 16:17,8/31/2026 16:17
BTAX-041544-08-2025,JACK GOLDWASSER,WATCH ENTERPRISES LLC,,7,Inside City Limits,339999,Manufacturing-Misc Manufacturing,5414728095,3/3/2020 0:00,0fece406-fe52-45dc-833c-d9a2cd21113d,2185,SPALDING,,NE,AVE,,#10,GRANTS PASS,OR,97526,2185,SPALDING,,NE,AVE,,#10,GRANTS PASS,OR,97526,8/25/2025 16:20,8/31/2026 16:20
BTAX-041545-08-2025,CARL WILSON,GRANTS PASS BROADCASTING CORP,,14,Inside City Limits,516110,Radio Station,5414766608,1/1/1997 0:00,5D3EFC42-4999-4BA0-B738-ADFAF8F76AC2,888,ROGUE RIVER,, ,HWY,, ,GRANTS PASS,OR,97527,888,ROGUE RIVER,,,HWY,,,GRANTS PASS,OR,97527,8/26/2025 8:45,8/31/2026 8:45
BTAX-041551-08-2025,DALE  FARMER,JIFFY JOANNE LLC              ,JIFFY LUBE,5,Inside City Limits,811191,Auto-Oil Change/Lubrication Shop,5414794890,2/6/1998 0:00,032A697F-5E0E-4FC2-B24D-BE4632BE3685,305,G,,SE,ST,, ,GRANTS PASS,OR,97526,305,G,,SE,ST,,,GRANTS PASS,OR,97526,8/26/2025 10:00,8/31/2026 10:00
BTAX-041553-08-2025,,SHECKELLS REALTY,,2,Inside City Limits,531210,Real Estate Agents/Brokers,5417785408,7/22/2022 0:00,91157bd4-88e2-465f-8c9d-2eaadfe86d1b,227,5TH,,NW,ST,,,GRANTS PASS ,OR,97526,227,5TH,,NW,ST,,,GRANTS PASS,OR,97526,8/26/2025 10:26,8/31/2026 10:26
BTAX-041554-08-2025,AARIN YARRISH & HOLLY KNOLL,COMPETITIVE ATHLETICS LLC    ,,7,Inside City Limits,459110,Retail-Sporting Goods,5414791001,6/1/2007 0:00,315892B1-4CC5-4A08-8B52-F904CA5FAC65,105,7TH,,NE,ST,,,GRANTS PASS,OR,97526,105,7TH,,NE,ST,,,GRANTS PASS,OR,97526,8/26/2025 10:32,8/31/2026 10:32
